domain,dnsblock_threat_count,ip_bad_count_total,ip_bad_count_bad,facebook_comments_total_count,facebook_comments_negative_comment_count,popularity_rank,average_review_score,anonymous_whois,whois_registration_duration,whois_valid_email,ssl_valid,blacklisted,is_legit
okx.com,15,212,65,1,4,27,1.73977186,FALSE,2024982,FALSE,TRUE,TRUE,FALSE
okx.com,14,3650,621,56,46,19,1.984669535,TRUE,1666923,TRUE,TRUE,FALSE,FALSE
woo.org,12,1037,238,255,179,50,0.40775218,FALSE,1370940,TRUE,TRUE,FALSE,TRUE
okx.com,4,1860,349,15,22,13,0.447120346,FALSE,2226755,TRUE,FALSE,FALSE,FALSE
gate.io,27,2767,181,286,192,70,3.009244207,TRUE,577406,FALSE,TRUE,FALSE,TRUE
kraken.com,7,80,48,121,110,81,1.723742528,FALSE,550316,TRUE,TRUE,FALSE,TRUE
riacapital.pro,8,3508,628,129,112,47,2.3603702,TRUE,1649320,TRUE,TRUE,FALSE,TRUE
app.uniswap.org,3,2926,456,109,51,20,1.854022338,FALSE,4454711,FALSE,TRUE,FALSE,FALSE
gate.io,8,300,56,140,102,71,0.506422655,TRUE,120605,TRUE,TRUE,FALSE,TRUE
algo-revolution.com,3,901,159,76,54,70,4.261537149,FALSE,2648894,TRUE,TRUE,FALSE,TRUE
trustedstations.com,11,260,52,323,310,72,0.483830065,FALSE,132767,FALSE,FALSE,FALSE,TRUE
foxbtc.io,17,1733,103,405,322,59,1.795326506,FALSE,110142,TRUE,TRUE,TRUE,TRUE
gmt-crypto.com,17,2241,279,366,375,71,0.995709664,TRUE,458774,TRUE,FALSE,TRUE,TRUE
riacapital.pro,12,89,7,48,17,76,1.723103978,FALSE,54332,TRUE,TRUE,FALSE,TRUE
zantepay.com,23,3353,177,79,108,2,1.646557673,TRUE,4614394,TRUE,FALSE,TRUE,FALSE
latoken.com,35,1779,154,203,173,51,0.451753862,TRUE,206816,FALSE,FALSE,TRUE,TRUE
tkeycoin.com,0,3703,319,21,32,44,0.247656564,FALSE,361965,TRUE,TRUE,FALSE,TRUE
hashkey.com,7,365,91,72,37,63,2.776835829,FALSE,818617,TRUE,TRUE,FALSE,TRUE
hashkey.com,0,2681,293,1,1,27,3.596912051,FALSE,5714943,TRUE,TRUE,FALSE,FALSE
yudi.io,4,1492,131,90,98,25,0.770259815,TRUE,1475184,FALSE,FALSE,TRUE,FALSE
bitvenus.com,23,4125,299,63,108,81,2.304025546,FALSE,69715,FALSE,FALSE,TRUE,TRUE
exchange.pointpay.io,7,2983,308,101,58,49,0.425748508,FALSE,676320,TRUE,TRUE,FALSE,TRUE
trustedstations.com,8,2440,215,66,130,26,3.51659515,TRUE,4077312,TRUE,TRUE,FALSE,TRUE
hugedomains.com,31,345,108,179,126,4,0.5887937,TRUE,759953,FALSE,FALSE,TRUE,FALSE
bitunix.com,21,2991,128,261,243,39,1.3962071,FALSE,508179,TRUE,TRUE,FALSE,TRUE
coins.ph,3,1190,182,187,108,70,4.032460013,FALSE,1653058,TRUE,FALSE,TRUE,TRUE
bank-of-crypto.com,6,977,188,134,128,13,1.322081674,TRUE,3424291,TRUE,TRUE,FALSE,FALSE
tkeycoin.com,14,3295,779,218,187,11,0.056219152,TRUE,959892,TRUE,FALSE,FALSE,FALSE
woo.org,1,1136,106,25,25,28,0.405091396,FALSE,2041872,TRUE,FALSE,FALSE,FALSE
bitget.com,3,1876,60,24,60,72,2.121416382,FALSE,307186,TRUE,TRUE,FALSE,TRUE
woo.org,11,3614,244,156,167,48,0.026821674,FALSE,673332,TRUE,FALSE,FALSE,TRUE
binance.com,6,820,101,18,29,31,2.222613009,FALSE,2783916,TRUE,TRUE,FALSE,FALSE
ethereumwhite.online,2,295,93,15,5,37,2.61890848,FALSE,1457444,TRUE,TRUE,FALSE,FALSE
dunemining.pro,10,4369,454,26,24,45,1.596635199,TRUE,1888727,FALSE,TRUE,FALSE,TRUE
365globalmarket.com,23,1774,128,137,148,36,0.346748667,FALSE,888631,FALSE,FALSE,TRUE,TRUE
yudi.io,7,201,5,67,117,23,0.277061942,TRUE,757841,FALSE,FALSE,FALSE,TRUE
app.uniswap.org,14,225,24,119,108,72,1.599438513,FALSE,561894,FALSE,TRUE,FALSE,TRUE
okx.com,3,1003,345,33,11,28,3.141183647,FALSE,2205138,TRUE,TRUE,FALSE,FALSE
gemini.com,4,142,1,55,77,86,3.333941478,FALSE,27060,TRUE,TRUE,FALSE,TRUE
elitetrader.io,4,2065,503,118,105,23,1.319302797,FALSE,1435827,TRUE,FALSE,TRUE,FALSE
dibbs.co,14,1516,189,46,29,60,1.73733231,FALSE,881737,TRUE,FALSE,TRUE,TRUE
bitget.com,17,1365,328,190,109,48,0.995721662,FALSE,2853866,TRUE,TRUE,FALSE,TRUE
dunemining.pro,1,1699,267,4,2,21,1.723370047,FALSE,3446346,TRUE,TRUE,FALSE,FALSE
gmt-crypto.com,1,4834,679,22,38,14,1.845433992,TRUE,4273684,TRUE,TRUE,FALSE,FALSE
veio.io,18,2625,322,49,56,6,0.075669931,FALSE,1950014,TRUE,TRUE,FALSE,FALSE
zantepay.com,14,2287,130,84,74,45,1.719506283,FALSE,1248683,TRUE,TRUE,FALSE,TRUE
neofinance.io,7,2188,245,217,202,22,0.036957491,FALSE,987024,FALSE,FALSE,TRUE,FALSE
beta-venture.com,12,59,14,24,16,72,1.222466971,FALSE,490399,FALSE,TRUE,FALSE,TRUE
woo.org,4,340,36,140,154,38,0.643590734,FALSE,1292577,FALSE,TRUE,FALSE,TRUE
kraken.com,20,3681,368,157,200,8,0.703551011,TRUE,1705150,FALSE,FALSE,TRUE,FALSE
bitget.com,17,2813,494,83,81,37,2.225827467,TRUE,1135784,TRUE,FALSE,TRUE,TRUE
coinbase.com,3,1124,103,35,39,61,1.943255468,FALSE,1205726,TRUE,TRUE,FALSE,TRUE
camolcoin.net,3,2746,259,35,33,35,1.872287478,FALSE,3704650,TRUE,TRUE,FALSE,FALSE
latoken.com,8,3709,533,72,87,25,0.450382485,TRUE,2649534,TRUE,FALSE,FALSE,FALSE
tkeycoin.com,7,2639,226,2,9,14,0.80459711,TRUE,2346946,TRUE,TRUE,TRUE,FALSE
beta-venture.com,7,776,108,49,62,10,0.440531587,TRUE,5151083,TRUE,TRUE,TRUE,FALSE
kucoin.com,2,1724,507,166,94,21,0.116117328,FALSE,3772181,TRUE,TRUE,FALSE,FALSE
smartweb.network,6,883,128,11,17,13,1.652307353,FALSE,3172207,FALSE,TRUE,TRUE,FALSE
okx.com,19,1191,106,21,17,62,3.437740686,FALSE,2113434,FALSE,TRUE,TRUE,TRUE
